Index,District,State,Zone,
618,SouthTripura,Tripura,GreenZone,
619,WestTripura,Tripura,GreenZone,
620,Khowai,Tripura,GreenZone,
621,Sepahijala,Tripura,GreenZone,
622,Unakoti,Tripura,GreenZone,
623,Agra,Uttar Pradesh,RedZone,
624,Lucknow,Uttar Pradesh,RedZone,
625,Saharanpur,Uttar Pradesh,RedZone,
626,KanpurNagar,Uttar Pradesh,RedZone,
627,Moradabad,Uttar Pradesh,RedZone,
628,Firozabad,Uttar Pradesh,RedZone,
629,GautamBuddhaNagar,Uttar Pradesh,RedZone,
630,Bulandshahr,Uttar Pradesh,RedZone,
631,Meerut,Uttar Pradesh,RedZone,
632,RaeBareli,Uttar Pradesh,RedZone,
633,Varanasi,Uttar Pradesh,RedZone,
634,Bijnor,Uttar Pradesh,RedZone,
635,Amroha,Uttar Pradesh,RedZone,
636,SantKabeerNagar,Uttar Pradesh,RedZone,
637,Aligarh,Uttar Pradesh,RedZone,
638,Muzaffarnagar,Uttar Pradesh,RedZone,
639,Rampur,Uttar Pradesh,RedZone,
640,Mathura,Uttar Pradesh,RedZone,
641,Bareilly,Uttar Pradesh,RedZone,
642,Ghaziabad,Uttar Pradesh,OrangeZone,
643,Hapur,Uttar Pradesh,OrangeZone,
644,Baghpat,Uttar Pradesh,OrangeZone,
645,Basti,Uttar Pradesh,OrangeZone,
646,Budaun,Uttar Pradesh,OrangeZone,
647,Sambhal,Uttar Pradesh,OrangeZone,
648,Auraiya,Uttar Pradesh,OrangeZone,
649,ShamIi,Uttar Pradesh,OrangeZone,
650,Sitapur,Uttar Pradesh,OrangeZone,
651,Bahraich,Uttar Pradesh,OrangeZone,
652,Kannauj,Uttar Pradesh,OrangeZone,
653,Azamgarh,Uttar Pradesh,OrangeZone,
654,Mainpuri,Uttar Pradesh,OrangeZone,
655,Shravasti,Uttar Pradesh,OrangeZone,
656,Banda,Uttar Pradesh,OrangeZone,
657,Jaunpur,Uttar Pradesh,OrangeZone,
658,Etah,Uttar Pradesh,OrangeZone,
659,Kasganj,Uttar Pradesh,OrangeZone,
660,Sultanpur,Uttar Pradesh,OrangeZone,
661,Prayagraj,Uttar Pradesh,OrangeZone,
662,Jalaun,Uttar Pradesh,OrangeZone,
663,Mirzapur,Uttar Pradesh,OrangeZone,
664,Etawah,Uttar Pradesh,OrangeZone,
665,Pratapgarh,Uttar Pradesh,OrangeZone,
666,Ghazipur,Uttar Pradesh,OrangeZone,
667,Gonda,Uttar Pradesh,OrangeZone,
668,Mau,Uttar Pradesh,OrangeZone,
669,Bhadohi,Uttar Pradesh,OrangeZone,
670,Unnao,Uttar Pradesh,OrangeZone,
671,Pilibhit,Uttar Pradesh,OrangeZone,
672,Balrampur,Uttar Pradesh,OrangeZone,
673,Ayodhya,Uttar Pradesh,OrangeZone,
674,Gorakhpur,Uttar Pradesh,OrangeZone,
675,Jhansi,Uttar Pradesh,OrangeZone,
676,Hardoi,Uttar Pradesh,OrangeZone,
677,Kaushambi,Uttar Pradesh,OrangeZone,
678,Barabanki,Uttar Pradesh,GreenZone,
679,Kheri,Uttar Pradesh,GreenZone,
680,Hathras,Uttar Pradesh,GreenZone,
681,Maharajganj,Uttar Pradesh,GreenZone,
682,Shahjahanpur,Uttar Pradesh,GreenZone,
683,AmbedkarNagar,Uttar Pradesh,GreenZone,
684,BaIlia,Uttar Pradesh,GreenZone,
685,Chandauli,Uttar Pradesh,GreenZone,
686,Chitrakoot,Uttar Pradesh,GreenZone,
687,Deoria,Uttar Pradesh,GreenZone,
688,Farrukhabad,Uttar Pradesh,GreenZone,
689,Fatehpur,Uttar Pradesh,GreenZone,
690,Hamirpur,Uttar Pradesh,GreenZone,
691,KanpurDehat,Uttar Pradesh,GreenZone,
692,KushiNagar,Uttar Pradesh,GreenZone,
693,Lalitpur,Uttar Pradesh,GreenZone,
694,Mahoba,Uttar Pradesh,GreenZone,
695,SiddharthNagar,Uttar Pradesh,GreenZone,
696,Sonbhadra,Uttar Pradesh,GreenZone,
697,Amethi,Uttar Pradesh,GreenZone,
698,Haridwar,Uttarakhand,RedZone,
699,Dehradun,Uttarakhand,OrangeZone,
700,Nainital,Uttarakhand,OrangeZone,
701,UdamSinghNagar,Uttarakhand,GreenZone,
702,Almora,Uttarakhand,GreenZone,
703,PauriGarhwal,Uttarakhand,GreenZone,
704,Bageshwar,Uttarakhand,GreenZone,
705,Chamoli,Uttarakhand,GreenZone,
706,Champawat,Uttarakhand,GreenZone,
707,Pithoragarh,Uttarakhand,GreenZone,
708,RudraPrayag,Uttarakhand,GreenZone,
709,TehriGarhwal,Uttarakhand,GreenZone,
710,UttarKashi,Uttarakhand,GreenZone,
711,Kolkata,West Bengal,RedZone,
712,Howrah,West Bengal,RedZone,
713,24ParaganasNorth,West Bengal,RedZone,
714,24ParaganasSouth,West Bengal,RedZone,
715,MedinipurWest,West Bengal,RedZone,
716,MedinipurEast,West Bengal,RedZone,
717,Darjeeling,West Bengal,RedZone,
718,Jalpaiguri,West Bengal,RedZone,
719,Kalimpong,West Bengal,RedZone,
720,Maldah,West Bengal,RedZone,
721,Hooghly,West Bengal,OrangeZone,
722,PaschimBardhaman,West Bengal,OrangeZone,
723,Nadia,West Bengal,OrangeZone,
724,PurbaBardhaman,West Bengal,OrangeZone,
725,Murshidabad,West Bengal,OrangeZone,
726,DinajpurUttar,West Bengal,GreenZone,
727,Bankura,West Bengal,GreenZone,
728,Birbhum,West Bengal,GreenZone,
729,Coochbehar,West Bengal,GreenZone,
730,DinajpurDakshin,West Bengal,GreenZone,
731,Purulia,West Bengal,GreenZone,
732,Alipurduar,West Bengal,GreenZone,
733,Jhargram,West Bengal,GreenZone,
